"Table 307.20. Full-time-equivalent fall enrollment in degree-granting postsecondary institutions, by control and level of institution and
              state or jurisdiction: 2000, 2010, and 2018",,,,,,,,,,,,
Rhode Island ,"17,967","21,720","21,966","8,650","10,107","8,705","39,093","37,940",†,†,†,†
South Carolina,"74,309","93,512","105,674","41,804","66,813","49,614","31,078","32,594","11,326","2,577","2,621","2,257"
South Dakota,"23,881","29,247","28,360","4,193","5,746","5,277","7,133","5,934","2,831","1,057",†,†
Tennessee,"99,636","125,069","118,076","53,146","64,802","58,281","69,240","74,428","15,154","5,480","12,371","5,152"
Texas ,"358,523","506,279","625,862","268,057","403,005","355,431","110,416","121,765","24,705","14,120","39,172","15,646"
Utah ,"71,982","100,176","116,496","16,454","26,302","14,768","56,824","166,830","11,881","3,258","1,393",480
Vermont ,"13,581","18,461","17,705","1,845","3,114","2,316","15,710","15,479",615,70,†,†
Virginia ,"147,370","185,096","197,850","72,913","113,060","89,797","87,912","105,947","37,169","21,944","9,380","3,037"
Washington ,"83,899","143,012","232,659","114,754","109,154","21,911","37,741","36,218","7,050","4,055","5,098","1,274"
West Virginia,"58,171","64,650","56,593","3,969","15,609","10,122","11,487","7,402","18,867","21,291","2,819","1,621"
Wisconsin ,"130,661","160,463","158,304","56,195","68,908","45,268","53,254","48,645","11,045","1,532","2,134",167
Wyoming,"9,665","11,089","10,922","10,588","14,676","11,774",†,†,127,†,"1,879",38
U.S. Service Academies,"13,475","15,912","15,511",†,†,†,†,†,†,†,†,†
   Other jurisdictions,"66,376","65,847","60,330","7,200","8,758","5,018","113,458","93,340","9,417","13,823","30,467","12,711"
American Samoa ,†,†,784,214,"1,275",†,†,†,†,†,†,†
"Federated States of
   Micronesia ",†,†,†,"1,308","2,243","1,588",†,†,†,†,†,†
Guam,"2,802","3,074","3,199",777,"1,424","1,320",73,53,†,†,†,†
Marshall Islands ,†,†,893,166,739,†,†,†,†,†,†,†
Northern Marianas,†,"1,031","1,035",707,†,†,†,†,†,†,†,†
Palau,†,†,†,450,541,344,†,†,†,†,†,†
Puerto Rico,"61,987","59,658","52,848","3,578","2,536","1,766","113,385","93,287","9,417","13,823","30,467","12,711"
U.S. Virgin Islands,"1,587","2,084","1,571",†,†,†,†,†,†,†,†,†
†Not applicable.  ,,,,,,,,,,,,
"NOTE: Full-time-equivalent enrollment is the number of full-time students enrolled, plus the full-time equivalent of the part-time students. Degree-granting institutions grant associate’s or higher degrees and participate in Title IV federal financial aid programs. Detail may not sum to totals because of rounding.",,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Spring 2001, Spring 2011, and Spring 2019, Fall Enrollment component. (This table was prepared May 2020.)  ",,,,,,,,,,,,
  ,,,,,,,,,,,,
